,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
25,26,0,good,12,quickshift,blend_3,100,100,False,30000,5000,3,0.09457464221551647,lm_p_maxloss,8.884345337668195,0.975081667084357,1.4680465862930783,0.46618015,0.46618014722662077,0.46618015,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020133613579673693,0.27133438,8.563641,0.0,0.0,0.0,0.0,0.0
26,27,0,good,13,quickshift,blend_2,100,100,False,30000,5000,3,0.13998470743820338,lm_p_maxloss,10.156254770616616,0.9893747032308661,1.6010313959010578,0.8369778,0.8369777828844189,0.8369778,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0035258438996000527,0.30969372,9.840429,0.0,0.0,0.0,0.0,0.0
27,28,0,good,13,quickshift,blend_3,100,100,False,30000,5000,3,0.1276074924254956,lm_p_maxloss,10.098663022460265,0.9908150102334127,1.4705562446620613,0.75363433,0.7536343295301712,0.75363433,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0035258438996000527,0.30969372,9.840429,0.0,0.0,0.0,0.0,0.0
28,29,0,good,14,quickshift,blend_2,100,100,False,30000,5000,3,0.118319159806904,lm_p_maxloss,10.540267276203075,0.9913100774616201,1.346129157357461,0.72228533,0.722285332529194,0.72228533,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00737284732167609,0.6248343,10.194862,0.0,0.0,0.0,0.0,0.0
29,30,0,good,14,quickshift,blend_3,100,100,False,30000,5000,3,0.13211350477125644,lm_p_maxloss,10.541398303487052,0.9919086482215441,1.5044871358449987,0.6691311,0.6691310709921366,0.6691311,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00737284732167609,0.6248343,10.194862,0.0,0.0,0.0,0.0,0.0
30,31,0,good,15,quickshift,blend_2,100,100,False,30000,5000,3,0.1850114300468606,lm_p_maxloss,10.766031900142318,0.9970348460691291,1.7868317408607775,1.2887084,1.28870843771911,1.2887084,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004542792985982184,0.532234,10.715189,0.0,0.0,0.0,0.0,0.0
31,32,0,good,15,quickshift,blend_3,100,100,False,30000,5000,3,0.18153051544850382,lm_p_maxloss,10.761206225314016,0.9967709176066628,1.7570031175254874,1.2603368,1.2603368115756306,1.2603368,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004542792985982184,0.532234,10.715189,0.0,0.0,0.0,0.0,0.0
32,33,0,good,16,quickshift,blend_2,100,100,False,30000,5000,3,0.10191238977121167,lm_p_maxloss,8.0057498217744,0.9860291279053159,1.3528500530257903,0.4994599,0.4994598995377056,0.4994599,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002269586012213646,0.29352102,7.9293156,0.0,0.0,0.0,0.0,0.0
33,34,0,good,16,quickshift,blend_3,100,100,False,30000,5000,3,0.10904528956201415,lm_p_maxloss,8.064135620802503,0.9798631591148981,1.434670759582004,0.56025434,0.5602543643606029,0.56025434,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002269586012213646,0.29352102,7.9293156,0.0,0.0,0.0,0.0,0.0
34,35,0,good,17,quickshift,blend_2,100,100,False,30000,5000,3,0.13102146211574062,lm_p_maxloss,9.725947550571036,0.9799657523587978,1.6898608947650304,0.7957209,0.7957208561026196,0.7957209,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0035130234852355593,0.3024088,9.319043,0.0,0.0,0.0,0.0,0.0
