,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
21,22,0,manipulated_front,21,quickshift,blend_2,100,100,False,30000,5000,3,0.3999890132038581,lm_p_loss,1.4943427376999563,2.6355996,2.6355996249089766,0.6692826,0.010655301012253596,0.00284176604948449,0.0023873592471628405,0.2727272727272727,0.02235116667641157,0.04645549041756118,0.009157436987152323,0.30494103,30.122305,0.9408669519152404,0.7591050325998371,0.835658618581907,0.8179884881825591,0.7585294417277914
22,23,0,manipulated_front,22,quickshift,blend_2,100,100,False,30000,5000,3,0.4202653951613225,lm_p_loss,1.553083295177727,2.5294309,2.529430854618442,2.5294309,0.015772870662460567,0.0033455074547432727,0.0030203050648351603,0.3023255813953488,0.021132382994637783,0.04315243653274526,0.026666914270511672,0.35112533,28.358343,0.9602231051344744,0.7838656275468623,0.9151640179299103,0.9265357579462102,0.7838656275468623
23,24,0,manipulated_front,23,quickshift,blend_2,100,100,False,30000,5000,3,0.7155166145187764,lm_p_loss,2.2351456767278357,4.8152895,4.815289325260169,1.5549266,0.032230703986429174,0.006976362479211367,0.006951910190670616,0.2982456140350877,0.029772654165510486,0.05100189761370787,0.022247368974300723,0.4064729,36.619972,0.895317936255398,0.9508715492071262,0.9545561830165918,0.9529447931418316,0.9508715492071261
24,25,1,scratch_head,0,quickshift,blend_2,100,100,False,30000,5000,3,0.6382003429330845,lm_p_loss,1.9236704020489994,4.280116,4.280116085885083,4.280116,0.30973451327433627,0.014155171035257118,0.0387858602524916,0.5833333333333334,0.045919162017608754,0.09157228451138631,0.01809796062055587,0.3433625,34.532368,0.9321422610437299,0.9830838989651719,0.9970791142761767,0.9981654055858461,0.9830838989651719
25,26,1,scratch_head,1,quickshift,blend_2,100,100,False,30000,5000,3,0.4480642144264934,lm_p_loss,1.6710785747489258,3.9379296,3.937929604092028,3.9379296,0.18421052631578946,0.014077285365704356,0.02853756883044246,0.3037037037037037,0.03151218300459251,0.053302912182646836,0.009509703425768143,0.27505493,29.176212,0.9483655729676786,0.9918865287300033,0.9935979840026118,0.9935941580966373,0.9918865287300032
26,27,1,scratch_head,2,quickshift,blend_2,100,100,False,30000,5000,3,0.5169105069548422,lm_p_loss,1.9950272679058683,4.4229507,4.422950644009512,4.4229507,0.5660377358490566,0.021433166455463476,0.06520414796211439,0.4666666666666667,0.04122644125314531,0.07872463685289528,0.02285476105316775,0.36752042,27.427914,0.9498594900126139,0.9790020065251988,0.998922224528573,0.9994012358492073,0.9790020065251988
27,28,1,scratch_head,3,quickshift,blend_2,100,100,False,30000,5000,3,0.527278094824567,lm_p_loss,1.631422918391796,3.1935828,3.1935827026991324,2.8287568,0.10196078431372549,0.008675416972480253,0.015023100539665652,0.30434782608695654,0.021257698319054483,0.04376874106511214,0.014503248763503507,0.28629345,33.649036,0.9618423121266113,0.9868244069454635,0.9939449917898193,0.9950367711281137,0.9868244069454635
28,29,1,scratch_head,4,quickshift,blend_2,100,100,False,30000,5000,3,0.7464368445450406,lm_p_loss,2.4589010531900892,7.128853,7.128853027477186,7.128853,0.24166666666666667,0.014415578201000902,0.029868560441653584,0.359375,0.04157837763958194,0.07169393070991394,0.009445267661552256,0.39294574,32.293816,0.9149688376524188,0.9900571886293357,0.9959284037746092,0.9962104882189826,0.9900571886293358
29,30,1,scratch_head,5,quickshift,blend_2,100,100,False,30000,5000,3,0.5900493680344104,lm_p_loss,1.7655676502113644,3.663303,3.663302981545605,2.05263,0.047619047619047616,0.004465751456572344,0.005943739930765063,0.07194244604316546,0.008730203729504471,0.011588572192851162,0.011528586076262096,0.3990089,36.9412,0.939142606868574,0.9526108555015235,0.9662711750959627,0.9368639468254453,0.9526108555015235
30,31,1,scratch_head,6,quickshift,blend_2,100,100,False,30000,5000,3,0.850483531150917,lm_p_loss,2.5157469740071314,7.9158025,7.915802321214948,7.9158025,0.19704433497536947,0.012462092564284776,0.02740061932681747,0.4788732394366197,0.03807765106639758,0.07668749856822424,0.014492579852230847,0.37441602,38.29097,0.9896233637732572,0.9946325942486005,0.9960764883302018,0.9962630379531476,0.9946325942486005
31,32,1,scratch_head,7,quickshift,blend_2,100,100,False,30000,5000,3,0.7491199199347447,lm_p_loss,2.3986673136155225,6.8493905,6.849390374876605,6.8493905,0.16730038022813687,0.014487972574791114,0.025196843260258676,0.32075471698113206,0.03265985783394368,0.0530548801216815,0.008460121044966703,0.37848794,34.55652,0.9029640035606988,0.9932986536107711,0.9974449204406364,0.9978858350951374,0.9932986536107711
32,33,1,scratch_head,8,quickshift,blend_2,100,100,False,30000,5000,3,0.5555102976873244,lm_p_loss,1.776123153894502,4.5335703,4.53357032795088,4.5335703,0.24742268041237114,0.014780584181212615,0.03542975108178736,0.5490196078431373,0.04298615157098185,0.08338526387520123,0.031857735200901516,0.3288849,32.627,0.9260222520606534,0.9714966288505793,0.9928175047112741,0.9975398488485216,0.9714966288505793
